date,transfers,mint_count,burn_count,mint_volume,burn_volume,p2p_volume,issuance_count,issuance_volume,redemption_count,redemption_volume,internal_count,internal_volume,transfer_count,transfer_volume,unique_senders,unique_receivers,active_addresses,new_addresses,zeroed_addresses,resurrected_addresses,holders_gt0,circulating_supply,mean_balance,median_balance,gini,top10_share,top100_share,unique_senders_ex_hub,unique_receivers_ex_hub,active_addresses_ex_hub,new_addresses_ex_hub,zeroed_addresses_ex_hub,resurrected_addresses_ex_hub,holders_gt0_ex_hub,circulating_supply_ex_hub,mean_balance_ex_hub,median_balance_ex_hub,gini_ex_hub,top10_share_ex_hub,top100_share_ex_hub,holders_ge1,holders_ge1_ex_hub,holders_ge100,holders_ge100_ex_hub,holders_ge1000,holders_ge1000_ex_hub,holders_ge10000,holders_ge10000_ex_hub,n_lt_1k,val_lt_1k,n_lt_1k_ex_hub,val_lt_1k_ex_hub,n_1k_10k,val_1k_10k,n_1k_10k_ex_hub,val_1k_10k_ex_hub,n_10k_100k,val_10k_100k,n_10k_100k_ex_hub,val_10k_100k_ex_hub,n_100k_1m,val_100k_1m,n_100k_1m_ex_hub,val_100k_1m_ex_hub,n_ge_1m,val_ge_1m,n_ge_1m_ex_hub,val_ge_1m_ex_hub,share_holders_lt10k,share_holders_lt10k_ex_hub
2025-11-15,18,0,0,0.0,0.0,117146.86834548666,0,0.0,0,0.0,0,0.0,18,117146.86834548666,9,13,15,6,0,0,247,34127350.0,138167.4089068826,609.560608403219,0.9511631600084409,0.7660831845194065,0.9988540413101265,8,11,13,6,0,0,243,33925958.337597564,139612.99727406405,610.4045388156732,0.9514642693646176,0.7706308162925062,0.9988907404226067,205,203,166,165,116,115,51,50,131,20162.63458478165,128,20081.663133465474,65,240881.60910143927,65,240881.60910143927,26,872195.2147955545,26,872195.2147955545,15,6849721.574309858,14,6648410.883358728,10,26144388.967208367,10,26144388.967208367,0.7935222672064778,0.7942386831275721
2025-11-16,52,0,0,0.0,0.0,3003342.0828360906,1,1000000.0,1,10000.0,0,0.0,50,1993342.0828360908,22,23,29,7,1,0,253,35117349.99999999,138803.75494071143,610.4045388156732,0.9508152620759631,0.7577814831763293,0.998724717994871,18,20,25,7,0,0,250,34916039.309048876,139664.15723619552,622.1569594004004,0.9513085381617381,0.7621505215033268,0.9987611302732537,209,208,171,170,120,119,52,51,133,20238.653950511816,131,20238.65395051182,68,254240.5598617205,68,254240.5598617205,26,870862.1164890678,26,870862.1164890678,16,7360731.101476438,15,7159420.410525307,10,26611277.568222262,10,26611277.568222262,0.7944664031620553,0.796
2025-11-17,14,0,0,0.0,0.0,1005898.2915123838,1,1000000.0,0,0.0,0,0.0,13,5898.291512383832,10,11,15,4,2,0,255,36117350.00000001,141636.6666666667,633.9093799851277,0.9484005276833027,0.736828099347962,0.998688390340991,10,11,15,4,2,0,252,35916039.30904887,142523.9655120987,688.4404721895482,0.9488600465883256,0.7409580473223363,0.9987238643335481,211,210,173,172,121,120,53,52,134,21238.643950511818,132,21238.643950511818,68,254066.9341055286,68,254066.9341055286,26,871084.966482402,26,871084.966482402,16,7358681.101476438,15,7157370.410525307,11,27612278.35398512,11,27612278.35398512,0.792156862745098,0.7936507936507936
2025-11-18,64,0,0,0.0,0.0,1439356.4265821336,0,0.0,0,0.0,0,0.0,64,1439356.4265821336,15,14,20,4,1,0,258,36117350.00000001,139989.72868217056,622.1569594004004,0.9502204620970325,0.7464493118492477,0.9986454939682085,14,13,19,4,1,0,255,35916039.30904887,140847.21297666224,633.9093799851277,0.9506847790516119,0.7506331870654248,0.9986810387217206,213,212,174,173,122,121,54,53,136,21238.64395051342,134,21238.64395051342,68,250840.97318979067,68,250840.97318979067,28,891627.4102202446,28,891627.4102202446,15,6993871.919321022,14,6792561.228369891,11,27959771.05331843,11,27959771.05331843,0.7906976744186046,0.792156862745098
2025-11-19,13,0,0,0.0,0.0,3532529.2592605683,1,1000000.0,0,0.0,0,0.0,12,2532529.2592605683,9,9,12,2,2,0,258,37117350.0,143865.6976744186,609.982573609446,0.953523656109311,0.7669759158341548,0.9986819864988392,7,8,10,2,1,0,256,37117350.0,144989.6484375,622.1569594004004,0.953160559672665,0.7669759158341548,0.9986819864988392,213,213,174,174,122,122,53,53,136,20738.64395051342,134,20738.64395051342,69,254309.84253452913,69,254309.84253452913,28,891627.4102202446,28,891627.4102202446,14,6482560.593707846,14,6482560.593707846,11,29468113.509586867,11,29468113.509586867,0.7945736434108527,0.79296875
2025-11-20,30,0,0,0.0,0.0,5775078.504841724,1,1000000.0,1,99381.0,0,0.0,28,4675697.504841724,20,22,26,4,1,1,262,38017969.0,145106.75190839695,564.1329901179831,0.9497758971877126,0.741490455121453,0.9986980588878717,16,17,21,4,1,0,259,38017862.4100871,146787.11355245984,609.560608403219,0.9491980168817034,0.7414925340232642,0.9987008589174462,215,214,175,174,122,122,53,53,140,20909.4846041512,137,20802.894691255795,69,255491.661638297,69,255491.661638297,27,796916.0696857391,27,796916.0696857391,14,6754690.647468525,14,6754690.647468525,12,30189961.13660329,12,30189961.13660329,0.7977099236641222,0.7953667953667953
2025-11-21,30,0,0,0.0,0.0,7353070.813409257,2,2000000.0,0,0.0,0,0.0,28,5353070.813409257,16,19,24,3,2,1,264,40017969.0,151583.2159090909,622.1569594004004,0.9489208749969148,0.7331167399885424,0.9985825944081085,14,18,22,3,1,1,262,40017969.0,152740.3396946565,688.4404721895482,0.9485309580121585,0.7331167399885424,0.9985825944081085,218,218,178,178,126,126,55,55,138,21050.84726630689,136,21050.84726630689,71,259738.70912454708,71,259738.70912454708,28,807022.6595986346,28,807022.6595986346,14,6592313.809767961,14,6592313.809767961,13,32337842.97424255,13,32337842.97424255,0.7916666666666666,0.7900763358778626
2025-11-22,22,0,0,0.0,0.0,83586.39300183722,0,0.0,0,0.0,0,0.0,22,83586.39300183722,12,17,20,6,0,0,270,40017969.0,148214.7,564.1329901179831,0.949878440410973,0.7327068317018343,0.9985344129706718,11,16,19,6,0,0,268,40017969.0,149320.77985074627,606.5211453989125,0.9495043989215026,0.7327068317018343,0.9985344129706718,224,224,184,184,125,125,55,55,145,24909.178129809054,143,24909.178129809054,70,256429.28068042957,70,256429.28068042957,28,822877.454289581,28,822877.454289581,14,6592313.809767961,14,6592313.809767961,13,32321439.27713222,13,32321439.27713222,0.7962962962962963,0.7947761194029851
2025-11-23,4,0,0,0.0,0.0,113281.46943490084,0,0.0,1,29000.0,0,0.0,3,84281.46943490084,4,3,4,0,0,0,270,39988969.0,148107.2925925926,521.7087674206803,0.9498681038539726,0.7325356513689376,0.9985560107975919,4,3,4,0,0,0,268,39988969.00000001,149212.57089552243,564.1329901179831,0.9494939852260172,0.7325356513689374,0.9985560107975918,224,224,184,184,124,124,55,55,146,25084.32267622454,144,25084.32267622454,69,255347.95927898103,69,255347.95927898103,28,822877.454289581,28,822877.454289581,14,6592313.809767961,14,6592313.809767961,13,32293345.453987252,13,32293345.453987252,0.7962962962962963,0.7947761194029851
2025-11-24,27,0,0,0.0,0.0,2410497.078844247,1,1000000.0,1,22000.0,0,0.0,25,1388497.078844247,15,22,24,4,2,1,273,40966969.0,150062.15750915752,518.633237,0.9522803345156414,0.7447283313584645,0.9985568267093521,11,17,19,4,2,0,270,40966840.39394992,151729.03849611082,564.1329901179831,0.9517544771226992,0.7447306692631737,0.9985599614507193,227,226,186,185,124,124,54,54,149,26463.118684394805,146,26334.512634312443,70,259841.45179121633,70,259841.45179121633,28,822747.9301848934,28,822747.9301848934,13,6348654.035155551,13,6348654.035155551,13,33509262.464183945,13,33509262.464183945,0.8021978021978022,0.8
